"Text","Binary_Sentiment","Cont_Sentiment"
"1595    the tragedy of romeo and juliet    by william shakespeare        dramatis personae      chorus","0.0","-0.90957188606262207"
"escalus, prince of verona","1.0","2.9514753818511963"
"paris, a young count, kinsman to the prince","1.0","2.9535553455352783"
"montague, heads of two houses at variance with each other","1.0","0.2536618709564209"
"capulet, heads of two houses at variance with each other","1.0","0.2536618709564209"
"an old man, of the capulet family","1.0","4.1910686492919922"
"romeo, son to montague","1.0","2.9628190994262695"
"tybalt, nephew to lady capulet","1.0","5.0994434356689453"
"mercutio, kinsman to the prince and friend to romeo","1.0","2.8142473697662354"
"benvolio, nephew to montague, and friend to romeo      tybalt, nephew to lady capulet","1.0","4.5500473976135254"
"friar laurence, franciscan","1.0","2.3302898406982422"
"friar john, franciscan","1.0","1.9467015266418457"
"balthasar, servant to romeo","1.0","1.3113456964492798"
"abram, servant to montague","1.0","4.3618268966674805"
"sampson, servant to capulet","1.0","4.3618268966674805"
"gregory, servant to capulet","1.0","4.2505450248718262"
"peter, servant to juliet's nurse","1.0","9.1235990524291992"
"an apothecary","1.0","4.8682799339294434"
"three musicians","0.0","-2.3491771221160889"
"an officer","0.0","-1.9873809814453125"
"lady montague, wife to montague","1.0","8.4229888916015625"
"lady capulet, wife to capulet","1.0","8.4229888916015625"
"juliet, daughter to capulet","0.0","-1.2694258689880371"
"nurse to juliet","0.0","-1.3792412281036377"
"citizens of verona  gentlemen and gentlewomen of both houses       maskers, torchbearers, pages, guards, watchmen, servants, and      attendants","1.0","5.6351022720336914"
"scene   verona  mantua","1.0","5.299283504486084"
"the prologue                            enter chorus","0.0","-2.624567985534668"
"chor","0.0","-1.5365645885467529"
"two households, both alike in dignity,      in fair verona, where we lay our scene,      from ancient grudge break to new mutiny,      where civil blood makes civil hands unclean","0.0","-0.34451055526733398"
"from forth the fatal loins of these two foes      a pair of star cross'd lovers take their life       whose misadventur'd piteous overthrows      doth with their death bury their parents' strife","0.0","-4.5345134735107422"
"the fearful passage of their death mark'd love,      and the continuance of their parents' rage,      which, but their children's end, naught could remove,      is now the two hours' traffic of our stage       the which if you with patient ears attend,      what here shall miss, our toil shall strive to mend","1.0","0.94669365882873535"
"exit","0.0","-5.5216097831726074"
"act i","1.0","2.7169017791748047"
"scene i   verona","1.0","3.1100046634674072"
"a public place","1.0","2.5786361694335938"
"enter sampson and gregory (with swords and bucklers) of the house  of capulet","1.0","9.580204963684082"
"samp","0.0","-1.5365645885467529"
"gregory, on my word, we'll not carry coals","1.0","3.8540689945220947"
"greg","1.0","3.677858829498291"
"no, for then we should be colliers","1.0","0.57566618919372559"
"samp","0.0","-1.5365645885467529"
"i mean, an we be in choler, we'll draw","1.0","2.387087345123291"
"greg","1.0","3.677858829498291"
"ay, while you live, draw your neck out of collar","1.0","0.27715563774108887"
"samp","0.0","-1.5365645885467529"
"i strike quickly, being moved","0.0","-2.3628051280975342"
"greg","1.0","3.677858829498291"
"but thou art not quickly moved to strike","1.0","0.97924900054931641"
"samp","0.0","-1.5365645885467529"
"a dog of the house of montague moves me","0.0","-1.565983772277832"
"greg","1.0","3.677858829498291"
"to move is to stir, and to be valiant is to stand","1.0","4.5925350189208984"
"therefore, if thou art moved, thou runn'st away","1.0","1.6499710083007812"
"samp","0.0","-1.5365645885467529"
"a dog of that house shall move me to stand","0.0","-1.7059118747711182"
