"INDEX","WORD","DEFINITION","X","Y"
"0","的","/of/~'s (possessive particle)/(used after an attribute)/(used to form a nominal expression)/(used at the end of a declarative sentence for emphasis)/","-2.3635500215328005","9.7709520408198411"
"1","我","/I/me/my/","2.373217987188784","-0.30342580579056"
"2","你","/you (informal, as opposed to courteous 您[nin2])/","2.349204705950009","-0.36610885895945139"
"3","是","/is/are/am/yes/to be/","-2.3896865612796137","9.1995294381708685"
"4","了","/(modal particle intensifying preceding clause)/(completed action marker)/","3.2346680671721266","0.20031260032909973"
"5","不","/(negative prefix)/not/no/","-5.4604563100897323","10.454341477351663"
"6","在","/(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)/","-2.3065078300027548","9.2845670767640271"
"7","他","/he or him/(used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/other/another/","2.4442620377934028","-0.15852201692212128"
"8","我们","/we/us/ourselves/our/","2.3350626187019259","-0.07124431969118071"
"9","好","/good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)/(of an unmarried couple) to be close/to be keen on each other/","6.1292979582232174","4.7724416155674136"
"10","有","/to have/there is/there are/to exist/to be/","6.162718546304089","7.0346932496151595"
"11","这","/this/these/(commonly pr. [zhei4] before a classifier, esp. in Beijing)/","-4.8301694604011756","9.1929128175283399"
"12","就","/at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning/","-5.2900133942842258","10.178362437973705"
"13","会","/can/to be possible/to be able to/will/to be likely to/to be sure to/to assemble/to meet/to gather/to see/union/group/association/CL:個|个[ge4]/a moment (Taiwan pr. for this sense is [hui3])/","-4.468595456685474","10.25604554903013"
"14","吗","/see 嗎啡|吗啡, morphine/","-4.7114469403571873","5.1638443614103666"
"15","要","/to demand/to request/to coerce/","-4.9878409670338337","10.581320603493337"
"16","什么","/what?/who?/something/anything/","7.9504874298639248","-3.7152639844511333"
"17","说","/to persuade/","-1.7603137964752129","-3.4903099533914457"
"18","她","/she/","2.4000822348434947","-0.16048123493577732"
"19","想","/to think/to believe/to suppose/to wish/to want/to miss (feel wistful about the absence of sb or sth)/","-4.940178903286812","10.843340268553332"
"20","一","/one/1/single/a (article)/as soon as/entire/whole/all/throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit/","7.9932224493565878","7.8618292583817242"
"21","很","/(adverb of degree)/quite/very/awfully/","-7.9249900017505785","10.01884985493303"
"22","知道","/to know/to become aware of/also pr. [zhi1 dao5]/","-2.0763332588978902","3.6182757982308118"
"23","人","/man/person/people/CL:個|个[ge4],位[wei4]/","9.7266453540485021","0.9324220802495935"
"24","吧","/bar (loanword) (serving drinks, or providing Internet access etc)/to puff (on a pipe etc)/(onom.) bang/abbr. for 貼吧|贴吧[tie1 ba1]/","-4.4866307923176239","5.1262230698981419"
"25","那","/surname Na/","9.6840013223174974","5.1966919786298682"
"26","来","/to come/to arrive/to come round/ever since/next/","3.0886467424884563","0.79858928152210751"
"27","都","/surname Du/","-5.1957619694848596","10.397386996195861"
"28","个","/individual/this/that/size/classifier for people or objects in general/","7.016114648606834","-1.2510905005841144"
"29","能","/surname Neng/","-5.0379711932377331","10.604592662434593"
"30","去","/to go/to go to (a place)/to cause to go or send (sb)/to remove/to get rid of/(when used either before or after a verb) to go in order to do sth/to be apart from in space or time/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/(of a time or an event etc) just passed or elapsed/","3.3928143020720896","0.86677378300344299"
"31","没","/(negative prefix for verbs)/have not/not/","-1.10372029874627","7.6902151847870259"
"32","和","/old variant of 和[he2]/","-2.5227325557856632","9.3741985514194148"
"33","他们","/they/","2.3374284465785515","-0.06459300081672581"
"34","到","/to (a place)/until (a time)/up to/to go/to arrive/(verb complement denoting completion or result of an action)/","-0.99432646355844601","9.6040911106968547"
"35","对","/right/correct/couple/pair/towards/at/for/to face/opposite/to treat (sb a certain way)/to match together/to adjust/to fit/to suit/to answer/to reply/classifier: couple/","-2.0092115335365119","8.5690625521333104"
"36","也","/surname Ye/","-5.3069327999043905","10.360854934571776"
"37","啊","/interjection of surprise/Ah!/Oh!/","-4.5121457192287","5.1072415142568284"
"38","还","/surname Huan/","-5.4239615230525775","9.6345195488074982"
"39","把","/to hold/to contain/to grasp/to take hold of/handle/particle marking the following noun as a direct object/classifier for objects with handle/classifier for small objects: handful/","-2.1592497307829799","8.9437771573665295"
"40","让","/to yield/to permit/to let sb do sth/to have sb do sth/to make sb (feel sad etc)/","-2.1022110651791226","8.755518065199297"
"41","做","/to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance/","5.2374265580889494","7.0284659108055045"
"42","给","/to/for/for the benefit of/to give/to allow/to do sth (for sb)/(grammatical equivalent of 被)/(grammatical equivalent of 把)/(sentence intensifier)/","-1.0475424278154977","9.6089512829091213"
"43","一个","No definition found.","7.7047746154933829","-4.2151352964965376"
"44","上","/see 上聲|上声[shang3 sheng1]/","6.5353672402456402","6.4576495090399897"
"45","你们","/you (plural)/","-8.5658942028601643","5.0466074892267496"
"46","过","/surname Guo/","3.2107920780666519","0.35879823032147595"
"47","没有","/haven't/hasn't/doesn't exist/to not have/to not be/","0.99003610261378916","0.79507742398726677"
"48","得","/to obtain/to get/to gain/to catch (a disease)/proper/suitable/proud/contented/to allow/to permit/ready/finished/","-0.54228805343651265","9.5723359456797255"
